nome_site;contato_nome;usuario;cidade;uf;categoria;tags;categoria_imovel;negociacao;contato_fone;contato_whatsapp;contato_instagram;contato_site;contato_desc;card_nome;card_localizacao;card_area;card_area_contruida;descricao;preco;card_imagem_url;card_url;og_title;og_image;og_description;og_status;galeria;data_primeiro_scraper_brasil;data_primeiro_scraper_eua;data_ultimo_scraper_brasil;data_ultimo_scraper_eua;data_expiracao;cidade_sugerida;uf_sugerido;usuario_email
"Prime Imóveis";"Prime Imóveis";primeimoveis;Unaí;MG;;;Kitnet;;"(38) 99970-6070";"(38) 99970-6070";;https://primeimoveisunai.com.br;;Kitnet;"Unaí, MG";;;;1200;img_178ed20698e0c63c51625e2f408a5f0a.jpeg;https://primeimoveisunai.com.br/imovel/kitnet-no-bairro-centro-unai-aluguel-RS1200/165582;;;;erro_http_500;img_178ed20698e0c63c51625e2f408a5f0a.jpeg;"10/08/2026 23:29:43";"2026-08-10 23:29:43";"11/08/2026 00:58:44";"2026-08-11 00:58:44";"2026-09-09 23:29:43";;;prime@imoveisunai.com.br
"Prime Imóveis";"Prime Imóveis";primeimoveis;Unaí;MG;;;Apartamentos;Venda;"(38) 99970-6070";"(38) 99970-6070";;https://primeimoveisunai.com.br;;Apartamento;"Unaí, MG";;;"<b>Detalhes do imóvel</b><br/>VENDA:<br/>R$ 490.000,00<br/>CONDOMÍNIO: R$ 358,00";490000;img_fd89941d4efd9eeb849c0b8fbf7e4607.jpg;https://primeimoveisunai.com.br/imovel/apartamento-no-bairro-cruzeiro-unai-venda-RS490000/156701;"VENDE-SE APARTAMENTO NO RESIDENCIAL ORQUÍDEAS - Prime Imóveis - Compra, venda e administração de imóveis";img_b9a1b2539a3b94678361c5a356b93e2c.jpg;"🏡 LINDO apartamento à VENDA no Condomínio Residencial Orquídeas Um apartamento sofisticado e aconchegante para você e sua família! Curta o silêncio de um local afastado com o benefício de estar no centro da cidade! O apartamento, reformado, conta com lindos móveis planejados em todos os cômodos. O apartamento conta com: 🔹 3 quartos (sendo 1 suíte) 🔹 1 banheiro social 🔹 Cozinha com mesa de jantar 🔹 Sala de TV bastante espaçosa 🔹 Sacada ampla e com uma linda vista 🔹 Garagem para 2 carros 🔸 Condomínio fechado 🔸 Quadra de lazer 🔸 Grande área de convivência 🤳 Agende já sua visita pelo, (38) 9.9970-6070 ou (38) 9.9951-0255 www.primeimoveisunai.com.br Rua Celina Lisboa Frederico, n° 69, Térreo - Centro - Unai - MG CRECI: MGJ0006090";ok;img_fd89941d4efd9eeb849c0b8fbf7e4607.jpg,img_ace2921e9c27d57e35f58fc8b10b7b55.jpg,img_336d7ea7abaf11c774e8e77827db876d.jpg,img_edb7b7336b48f1588fed7115abc6b068.jpg,img_fbdbeff8bcd2672425683fca69031af8.jpg,img_06670b860371584a66a8bce5d2c163e5.jpg,img_869afb3d29ff83f69c4613c39dabd5d3.jpg,img_f093bc09736aeac81ef3bd1a0e7fbd09.jpg,img_d0a1ebc88bb6f2cf3ab6fce42bd5a18f.jpg,img_1a15755bae22d3719ae1c7467ca0a9c7.jpg;"10/08/2026 23:29:47";"2026-08-10 23:29:47";"11/08/2026 00:58:44";"2026-08-11 00:58:44";"2026-09-09 23:29:47";Vende;SE;prime@imoveisunai.com.br
"Prime Imóveis";"Prime Imóveis";primeimoveis;Unaí;MG;;;Apartamentos;Venda;"(38) 99970-6070";"(38) 99970-6070";;https://primeimoveisunai.com.br;;Apartamento;"Unaí, MG";;;"<b>Detalhes do imóvel</b><br/>VENDA:<br/>A partir de<br/>R$ 475.000,00<br/>Dormitórios: 3 (sendo 1 suíte)<br/>Banheiros: 2<br/>Garagens: 1";475000;img_9b6c11bfd82092c4b8923775143ecde2.jpeg;https://primeimoveisunai.com.br/imovel/apartamento-no-bairro-centro-unai-venda-RS475000/151271;"VENDE-SE APARTAMENTO RESIDENCIAL SOLARE - Prime Imóveis - Compra, venda e administração de imóveis";img_7d326bd069c65d07377745a65579755e.jpeg;"APARTAMENTO RESIDENCIAL SOLARE Localizado no centro de Unaí, Rua Djalma Torres, n⁰454, com tudo que precisa perto: farmácia, mercado, padaria, posto, academia, escolas e muito mais... São 110,29m² distribuídos de maneira a trazer amplitude e comforto. 2⁰ andar, c/ escadas 1 Vaga de garagem 3 Quartos (1 suíte com banheira) 1 banheiro social Sala ampla para 2 ambientes Cozinha com armários planejados Lavanderia Sacada Entre em contato conosco: (38) 3677-6070/ 9.9970-6070 www.primeimoveisunai.com.br Rua Celina Lisboa Frederico, n° 69, Térreo - Centro - Unai - MG CRECI: MGJ0006090";ok;img_9b6c11bfd82092c4b8923775143ecde2.jpeg,img_0c46c0fe2e0758edee051c05a039905d.jpeg,img_fc604e258b285d6bc7ec39452e674b53.jpeg,img_30938894a055e85afd2169ab1463dc5b.jpeg,img_55d132d7e6deb27a91518ffc43ff9501.jpeg,img_08fc35d9d435d6030e4d2d613f1efbcd.jpeg,img_df3d6ec9ac79c1e02ba3946edbbcc524.jpeg,img_afda57360056077bd81a5702a297f99c.jpeg,img_c9a3369abd0309b47b723660f14c6ff4.jpeg,img_4b9dbe03b26f88296dd6404f8b752982.jpeg;"10/08/2026 23:29:51";"2026-08-10 23:29:51";"11/08/2026 00:58:44";"2026-08-11 00:58:44";"2026-09-09 23:29:51";Vende;SE;prime@imoveisunai.com.br
"Prime Imóveis";"Prime Imóveis";primeimoveis;Unaí;MG;;;"Sítios e Chácaras";Venda;"(38) 99970-6070";"(38) 99970-6070";;https://primeimoveisunai.com.br;;Chácara;"Unaí, MG";;;"<b>Detalhes do imóvel</b><br/>VENDA:<br/>A partir de<br/>R$ 150.000,00<br/>Área Total: 7500.00m2";150000;img_269e7c9005e699acc554e473ee3bcbb6.png;https://primeimoveisunai.com.br/imovel/chacara-venda-RS150000/146044;"VENDE-SE CHÁCARAS - Prime Imóveis - Compra, venda e administração de imóveis";img_72291eb2502e3204aa53595915b7b788.png;"5 chácaras cada uma com 1.500m². Podendo ser negociadas individualmente ou todas Localizadas nas chácaras cascalheiras, entrada em frente a Coagril, sentido Brasília. Área total: 7.500m² Pontos de água e esgoto para cada chácara A 8km do centro de Unaí R$750.000,00 Entre em contato conosco: (38) 3677-6070/ 9.9970-6070 www.primeimoveisunai.com.br Rua Celina Lisboa Frederico, n° 69, Térreo - Centro - Unai - MG CRECI: MGJ0006090";ok;img_269e7c9005e699acc554e473ee3bcbb6.png,img_5e55b967178021caad336a06499708ef.jpeg,img_05aa61b1a39814ea0f88cfd9a8844fc3.jpeg;"10/08/2026 23:29:55";"2026-08-10 23:29:55";"11/08/2026 00:58:44";"2026-08-11 00:58:44";"2026-09-09 23:29:55";Vende;SE;prime@imoveisunai.com.br
"Prime Imóveis";"Prime Imóveis";primeimoveis;Unaí;MG;;;"Sítios e Chácaras";Venda;"(38) 99970-6070";"(38) 99970-6070";;https://primeimoveisunai.com.br;;Chácara;"Unaí, MG";;;"<b>Detalhes do imóvel</b><br/>VENDA:<br/>A partir de<br/>R$ 1.590.000,00";1590000;img_0225c757bb199b24c22ef5dc67414538.jpeg;https://primeimoveisunai.com.br/imovel/chacara-venda-RS1590000/90127;"VENDE-SE CHÁCARA COM EXCELENTE INFRAESTRUTURA - Prime Imóveis - Compra, venda e administração de imóveis";img_63c0ebed5f47b70ced0352c186891307.jpeg;"VENDE-SE CHÁCARA COM EXCELENTE INFRAESTRUTURA 📍Localizada nas chácaras Colina Tamanho: metros quadrados 🏠DESCRIÇÃO DA CASA 6 QUARTOS 4 BANHEIROS SALA DE ESTAR E DE JANTAR 1 ESCRITÓRIO ÁREA GOURMET COM PISCINA E BANHEIRO SOCIAL SAUNA TODA ARBORIZADA POÇO ARTESIANO ÁGUA ENCANADA FORNECIDA PELO SAAE 🏦NÃO FINANCIA ACEITA TROCA EM APARTAMENTO COMO PARTE DO PAGAMENTO 1.590.000,00 Entre em contato conosco: (38) 3677-6070/ 9.9970-6070 (38) 99941-4334 www.primeimoveisunai.com.br Rua Celina Lisboa Frederico, n° 69, Térreo - Centro - Unai - MG CRECI: MGJ0006090";ok;img_0225c757bb199b24c22ef5dc67414538.jpeg,img_65e790431bf6e6f1979f70d796e12be4.jpeg,img_567a175a0d2e4b4edcc690be13ec9cf5.jpeg,img_34457c472f6d70cbb7705ac292c91c9c.jpeg,img_857934bd8ee542881a743f4762a30bdc.jpeg,img_6feee68ece918caaadfa3bb4e2e611fd.jpeg,img_6835cda36070894c73a54c9b7b4d4d8c.jpeg,img_27134babee3c9273e03ef0ebcbe31c38.jpeg,img_176c350fe3f34a93ea33645f0953e26c.jpeg,img_4e51038f062d49455ca6ddccf9ee1ec3.jpeg;"10/08/2026 23:29:59";"2026-08-10 23:29:59";"11/08/2026 00:58:44";"2026-08-11 00:58:44";"2026-09-09 23:29:59";Vende;SE;prime@imoveisunai.com.br
"Prime Imóveis";"Prime Imóveis";primeimoveis;Unaí;MG;;;Casas;;"(38) 99970-6070";"(38) 99970-6070";;https://primeimoveisunai.com.br;;Casa;"Unaí, MG";;;;2500000;img_0dee5b5939cea75d32f40ca46df98ba8.jpeg;https://primeimoveisunai.com.br/imovel/casa-no-bairro-divineia-unai-venda-RS2500000/84930;;;;erro_http_500;img_0dee5b5939cea75d32f40ca46df98ba8.jpeg;"10/08/2026 23:30:05";"2026-08-10 23:30:05";"11/08/2026 00:58:44";"2026-08-11 00:58:44";"2026-09-09 23:30:05";;;prime@imoveisunai.com.br
"Prime Imóveis";"Prime Imóveis";imoveisunai;Unaí;MG;;;Casas;Venda;"(38) 99970-6070";"(38) 99970-6070";;https://primeimoveisunai.com.br;;Casa;"Unaí, MG";;;"<b>Detalhes do imóvel</b><br/>VENDA:<br/>A partir de<br/>R$ 9.000.000,00<br/>CONDOMÍNIO: R$ 600,00<br/>Dormitórios: 7 (sendo 7 suítes)<br/>Banheiros: 12<br/>Garagens: 6<br/>Área Útil: 1620.00m2<br/>Área Total: 2500.00m2";9000000;img_5c5f8275334d303a8288164d44d30ce3.jpeg;https://primeimoveisunai.com.br/imovel/casa-brasilia-venda-RS9000000/75282;"VENDE-SE EXCELENTE CASA DE ALTO PADRÃO MOBILIADA EM BRASÍLIA DF - SMPW QUADRA 16 - PARK WAY BRASÍLIA DF - Prime Imóveis - Compra, venda e administração de imóveis";img_391c0fe7e6f2d9e6e82056e6e5377887.jpeg;"SMPW QUADRA 16 - PARK WAY BRASÍLIA DF Vende-se Excelente e exuberante casa moderna, PARCIALMENTE MOBILIADA e COM HABITE-SE, com móveis, eletrônicos e eletrodomésticos assinados por grandes marcas, uma raridade no mercado imobiliário com muito luxo e requinte, com espaços totalmente integrados, acabamentos primorosos e sofisticados, muito conforto, proporcionando momentos únicos de lazer, um verdadeiro RESORT PARTICULAR, no Park Way. Casa rodeada por maravilhoso paisagismo que dá acesso para a área de lazer e sua área verde a 10 minutos do aeroporto, próximo dos principais shoppings da região, escolas, farmácias e comércio em geral. Área total do terreno = 2.500m2 + 2.500m2 de área verde, Área útil construída =1620m2, 06 vagas cobertas para veículos e 07 suítes Composta de: Pavimento Térreo: - Hall de Entrada, - 03 Salas de estar e 01 sala de jantar integradas com piso em granito e mármore Renoir, - Pé direito duplo, - Lavabo com mármore e granito no piso e parede, - 01 suíte para hóspedes com armário planejados e banheiro todo em granito e mármore, - 01 amplo e espaçoso escritório, - Home theater com telão e projetor e um maravilhoso lavabo interno, - Adega climatizada, - Copa integrada com uma espaçosa cozinha com móveis planejados, - Coifa, cooktop, torre quente, bancada em ilha com granito negro, - Área de serviços com bancadas em granito e móveis planejados, - Despensa, - DCE completa, - Área gourmet com bancadas em granito, - Coifa industrial, cooktop, balcões refrigerados, balcão preparado para chopeira, churrasqueira e lareira, - 02 banheiros, sendo 01 masculino e outro feminino, - Sauna, - Piscina e SPA aquecidos, - Gazebo com deck de madeira de lei, Primeiro Pavimento: - Home Theater superior com móveis planejados, - Suíte Master com aproximadamente 300m2, com móveis planejados, closet, banheiro com bancada de mármore, 02 duchas, 02 cubas e banheira de hidromassagem com uma ampla varanda, - 05 suítes com móveis planejados, closets e banheiros, Adicionais do Imóvel: - Aquecimento solar, - Sistema de CFTV, - Sistema de som, - Sistema de irrigação automatizada, - Gás canalizado, - Iluminação toda em LED, - Condomínio fechado e monitorado 24h, - Poço artesiano, - Campo de futebol. R$9.000,000,00 CONDOMÍNIO R$600,00 Entre em contato conosco: (38) 3677-6070/ 9.9970-6070 (38)9.9932-6868 Rodrigo www.primeimoveisunai.com.br Rua Celina Lisboa Frederico, n° 69, Térreo - Centro - Unai - MG CRECI: MGJ0006090";ok;img_5c5f8275334d303a8288164d44d30ce3.jpeg,img_9eb1cbbc594cb95ef48e848613269b20.jpeg,img_34496c10e0d166a6dcb7071e1440773e.jpeg,img_4934c0be606b5dcda7cc270f2bf2049e.jpeg,img_3a2d323b1f4cff24670742c24e3c2980.jpeg,img_ef8b9d8cd1096afb4c36898fc9cf80e8.jpeg,img_4c1cadd837fb300f2e24b7fd9ac2fec1.jpeg,img_5f8ad479e727df1357f3a6e5ca51de60.jpeg,img_f602ed4f95b95ddff8b916b39d331ca8.jpeg,img_ff7a26e9d1e2753df3709624727bf66f.jpeg;"10/08/2026 23:30:12";"2026-08-10 23:30:12";"11/08/2026 00:48:24";"2026-08-11 00:48:24";"2026-09-09 23:30:12";Vende;SE;prime@imoveisunai.com.br
"Prime Imóveis";"Prime Imóveis";imoveisunai;Unaí;MG;;;Casas;Venda;"(38) 99970-6070";"(38) 99970-6070";;https://primeimoveisunai.com.br;;Casa;"Unaí, MG";;;"<b>Detalhes do imóvel</b><br/>VENDA:<br/>A partir de<br/>R$ 1.700.000,00<br/>Dormitórios: 5 (sendo 1 suíte)<br/>Banheiros: 5<br/>Garagens: 4<br/>Área Terreno: 450.00m2";1700000;img_2b058a4a45e83cd13fa747e6c248e312.jpeg;https://primeimoveisunai.com.br/imovel/casa-no-bairro-centro-unai-venda-RS1700000/42111;"VENDE-SE ÓTIMO SOBRADO - Prime Imóveis - Compra, venda e administração de imóveis";img_b8b1c876962def5554518246de6acd46.jpeg;"VENDE-SE ÓTIMO SOBRADO LOTE 450M² AREÁ CONSTUIDA360M² 4 QUARTOS 1 SUÍTE 5 BANHEIROS SOCIAIS GARAGEM P/ 4 CARROS LOCAL P INSTALAÇÃO DE PISCINA MÓVEIS PLANEJADOS R$1.700.000,00 Entre em contato conosco: (38) 3677-6070/ 9.9970-6070 www.primeimoveisunai.com.br Rua Celina Lisboa Frederico, n° 69, Térreo - Centro - Unai - MG CRECI: MGJ0006090";ok;img_98181788cf04f3d3f44fdbf4948cdfea.jpeg,img_2b058a4a45e83cd13fa747e6c248e312.jpeg,img_4f09317c06d8c57025cb52911ff228af.jpeg,img_2d4b2d5f5daf385ef12c638f91bfbdf4.jpeg,img_145f2d0c56a5e335448e22cff9fc7d1d.jpeg,img_6f16a2ad106ec39a514fe7c5595aa56b.jpeg,img_af5b9fa414f33d9278141ed61e9e36c8.jpeg,img_70cd14ed94dfcb14bdc9666bff813c40.jpeg,img_3b2f322150bf2eca425061fb6d15b87f.jpeg,img_697e592bc49fc21d80fabc075dc1d7e6.jpeg;"10/08/2026 23:30:16";"2026-08-10 23:30:16";"11/08/2026 00:48:24";"2026-08-11 00:48:24";"2026-09-09 23:30:16";Vende;SE;prime@imoveisunai.com.br
"Prime Imóveis";"Prime Imóveis";imoveisunai;Unaí;MG;;;Apartamentos;Venda;"(38) 99970-6070";"(38) 99970-6070";;https://primeimoveisunai.com.br;;Apartamento;"Unaí, MG";;;"<b>Detalhes do imóvel</b><br/>VENDA:<br/>A partir de<br/>R$ 620.000,00<br/>Dormitórios: 3 (sendo 1 suíte)<br/>Banheiros: 2<br/>Área Terreno: 108.90m2";620000;img_0c01caaeb1fd22819290f0a9bae2101b.jpeg;https://primeimoveisunai.com.br/imovel/apartamento-no-bairro-centro-unai-venda-RS620000/19821;"VENDE-SE APARTAMENTO DE ALTO PADRÃO NO CENTRO - Prime Imóveis - Compra, venda e administração de imóveis";img_8cfb395c9d9aee39adbc666f7c7da5e1.jpeg;"VENDE-SE APARTAMENTO - RES. BURITIS ÁREA: 108,9m² CENTRO - UNAÍ-MG 3  QUARTOS, SENDO UM SUÍTE SACADA NO QUARTO SOCIAL E NA SUÍTE 1 BANHEIRO SOCIAL SALA E COZINHA ESPAÇOSAS LAVANDERIA COM ARMÁRIOS PLANEJADOS PISO DO APARTAMENTO EM PORCELANATO AMBIENTES COM LUMINÁRIAS EMBUTIDAS 1 VAGA DE GARAGEM 6 ANDAR 1 ELEVADOR APARTAMENTO NOVO    VALOR: R$620.000,00 FINANCIA Entre em contato conosco: (38) 3677-6070/ 9.9970-6070 www.primeimoveisunai.com.br Rua Celina Lisboa Frederico, n° 69, Térreo - Centro - Unai - MG CRECI: MGJ0006090";ok;img_362c368704fc65e83ab037cd8c7fe6e1.jpeg,img_2b75fcbb8ce9c4b5707a9c3914a97fa6.jpeg,img_0c01caaeb1fd22819290f0a9bae2101b.jpeg,img_ddecea10f78a7695cb0f228357444e69.jpeg,img_366c8f508794cb560e12fa58356441a8.jpeg,img_a41ec0560fa1f9e9a20abffcdd462b71.jpeg,img_7ac34dbc4acbc2d365230742f8c69860.jpeg,img_869aab571c6bc4b3901ccfc769c244ad.jpeg,img_5aa9e02f905ee1f5ba47f06822f7893f.jpeg,img_012346b1a9e1806eec2bc642610b78d1.jpeg;"10/08/2026 23:30:19";"2026-08-10 23:30:19";"11/08/2026 00:48:24";"2026-08-11 00:48:24";"2026-09-09 23:30:19";Vende;SE;prime@imoveisunai.com.br
"Prime Imóveis";"Prime Imóveis";primeimoveis;Unaí;MG;;;Apartamentos;;"(38) 99970-6070";"(38) 99970-6070";;https://primeimoveisunai.com.br;;Apartamento;"Unaí, MG";;;;720;img_754febbe20698f2cd45726d8ce9da1cd.jpeg;https://primeimoveisunai.com.br/imovel/apartamento-no-bairro-capim-branco-unai-aluguel-RS720/19793;;;;erro_http_500;img_754febbe20698f2cd45726d8ce9da1cd.jpeg;"10/08/2026 23:30:23";"2026-08-10 23:30:23";"11/08/2026 00:58:44";"2026-08-11 00:58:44";"2026-09-09 23:30:23";;;prime@imoveisunai.com.br
